id,id,Price,Address,zip,status,mls,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT,CrimeRate,Elem_School_District,Hightest_Rated_School
137,1227,460000,7754 W MYRTLE AVE,85303,Closed,6348165,ORANGEWOOD ESTATES,2003,4,2.0,2045.0,0.0,Cartwright,95.89
138,1265,470000,5011 N 77TH DR,85303,Closed,6376750,MEADOWS 2,1972,4,3.0,2183.0,0.0,Cartwright,95.89
139,1328,330000,6934 W GEORGIA AVE,85303,Closed,6366991,HALLCRAFT WEST SIDE ESTATES 2,1978,3,2.0,1513.0,0.0,Cartwright,95.89
140,1374,415000,7831 W MONTEBELLO AVE,85303,Closed,6372524,MONTEBELLO ESTATES,1998,3,2.0,1476.0,0.0,Cartwright,95.89
141,1560,507000,7767 W STELLA AVE,85303,Closed,6344947,COBBLEFIELD,2000,4,3.0,2663.0,0.0,Cartwright,95.89
142,1600,553000,5014 N 79TH LN,85303,Closed,6375424,EL PRADO,2021,4,2.5,2940.0,0.0,Cartwright,95.89
143,1693,460000,5581 N 78TH DR,85303,Closed,6366646,MONTEBELLO ESTATES,2000,4,2.0,1866.0,0.0,Cartwright,95.89
144,1783,458000,7135 W Solano DR S,85303,Closed,6373184,BETHANY RANCH,2019,3,2.0,1895.0,0.0,Cartwright,95.89
145,1800,473000,7347 W KEIM DR,85303,Closed,6375766,BETHANY HERMOSA PARK UNIT 2,1978,4,2.0,2126.0,0.0,Cartwright,95.89
146,1818,410000,6260 N 70TH LN,85303,Closed,6375145,Cortina,2001,3,2.0,1505.0,0.0,Cartwright,95.89
147,1832,440000,5055 N 71ST DR,85303,Closed,6342537,WEST CAMELBACK VILLAGE 3,1978,6,3.0,2169.0,0.0,Cartwright,95.89
148,1853,462000,7258 W STATE AVE,85303,Closed,6360191,PARADISE VIEWS,2003,4,2.5,2458.0,0.0,Cartwright,95.89
149,1865,450000,7439 W Reade AVE,85303,Closed,6371037,WINN ESTATES MCR 205/30 LOT 17 EX S 15F,1998,3,2.0,1609.0,0.0,Cartwright,95.89
150,1883,469300,5729 N 71ST DR,85303,Closed,6367762,BETHANY RANCH,2019,3,2.0,1895.0,0.0,Cartwright,95.89
151,2027,700000,8031 W MONTEBELLO AVE,85303,Closed,6336794,Unknown,1990,3,2.0,2002.0,0.0,Cartwright,95.89
152,2046,535000,5178 N 74TH LN,85303,Closed,6367604,CHAPARRAL COUNTRY 3 LOT 1-78 TR A,1994,4,2.0,1963.0,0.0,Cartwright,95.89
153,2155,405563,6304 N 67TH LN,85303,Closed,6383336,GLENDALE 10 SUBDIVISION,2021,4,3.0,1850.0,0.0,Cartwright,95.89
154,2164,515000,7935 W ORANGE DR,85303,Closed,6365459,EL PRADO,2021,3,2.0,1788.0,0.0,Cartwright,95.89
155,2260,420000,7225 W BELMONT AVE,85303,Closed,6358156,PARADISE VIEWS 3,2003,3,2.0,1674.0,0.0,Cartwright,95.89
156,2275,350000,6740 W PECK DR,85303,Closed,6361116,NONE,1927,2,1.0,1155.0,0.0,Cartwright,95.89
157,4,349000,6944 W Verde LN,85033,Active,6395738,MARYVALE TERRACE NO. 49,1983,3,3.0,1514.0,3.0,Cartwright,95.89
158,25,395000,7428 W MINNEZONA AVE,85033,Active,6395577,SUNSET MEADOWS REPLAT,1981,3,2.0,1486.0,3.0,Cartwright,95.89
159,45,419000,6615 W COOLIDGE ST,85033,Active,6395415,PARKSIDE UNIT 2,1973,4,2.0,1681.0,3.0,Cartwright,95.89
